Iteration,Cost,Temperature,Sequence
196,123,0,4303537,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
197,123,0,408836,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
198,123,0,3883942,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
199,123,0,3689745,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
200,123,0,3505258,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
201,123,0,3329995,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
202,123,0,3163495,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
203,123,0,300532,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
204,123,0,2855054,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
205,123,0,2712302,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
206,123,0,2576686,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
207,123,0,2447852,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
208,123,0,2325459,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
209,123,0,2209186,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
210,123,0,2098727,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
211,123,0,1993791,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
212,123,0,1894101,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
213,123,0,1799396,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
214,123,0,1709426,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
215,123,0,1623955,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
216,123,0,1542757,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
217,123,0,1465619,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
218,123,0,1392338,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
219,123,0,1322721,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
220,123,0,1256585,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
221,123,0,1193756,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
222,123,0,1134068,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
223,123,0,1077365,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
224,123,0,1023496,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
225,123,0,09723217,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
226,123,0,09237055,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
227,123,0,08775203,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
228,123,0,08336443,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
229,123,0,07919621,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
230,123,0,0752364,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
231,123,0,07147457,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
232,123,0,06790084,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
233,123,0,0645058,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
234,123,0,06128051,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
235,123,0,05821648,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
236,123,0,05530566,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
237,123,0,05254037,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
238,123,0,04991335,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
239,123,0,04741769,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
240,123,0,0450468,20 17 15 10 6 4 11 19 18 5 7 1 2 3 9 8 12 13 16 14
241,123,0,04279446,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
242,123,0,04065474,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
243,123,0,038622,20 17 15 10 6 5 11 19 18 4 7 1 2 3 9 8 12 13 16 14
244,117,0,0366909,20 17 15 10 6 5 12 19 18 4 7 1 2 3 9 8 11 13 16 14
245,117,0,03485636,20 17 15 10 6 5 12 19 18 4 7 1 2 3 9 8 11 13 16 14
246,117,0,03311354,20 17 15 10 6 5 12 19 18 4 7 1 2 3 9 8 11 13 16 14
247,117,0,03145786,20 17 15 10 6 5 12 19 18 4 7 1 2 3 9 8 11 13 16 14
248,117,0,02988497,20 17 15 10 6 5 12 19 18 4 7 1 2 3 9 8 11 13 16 14
